Key,ru,en,tr
DiamondName0,Любовь реальна?,en,tr
DiamondDescription0,Увеличивает весь доход,en,tr
DiamondName1,Какой-то текст,en,tr
DiamondDescription1,Бонус к валюте престижа,en,tr
DiamondName2,Машина времени,en,tr
DiamondDescription2,Снижение потери дней при сбросе престижа,en,tr
DiamondName3,Пока ты спишь,en,tr
DiamondDescription3,Увеличивает время офлайн дохода,en,tr
DiamondName4,Какой-то текст,en,tr
DiamondDescription4,Объем офлайн дохода,en,tr
DiamondName5,Какой-то текст,en,tr
DiamondDescription5,Длительность бонусов за рекламу,en,tr
DiamondName6,Какой-то текст,en,tr
DiamondDescription6,Эфективность бонусов за рекламу,en,tr
