Key,ru,en,tr
ImprovementClickName{0},{0} Мечта,{0} A Dream,{0} Bir Rüya
ImprovementClickDescriptionGrade{0},Производство <color=green><b>дофамина</b></color> увеличивается в <color=green><b>{0}</b></color>х раз.,The production of <color=green><b>dopamine</b></color> increases in <color=green><b>{0}</b></color>x times.,<color=green><b>dopamin</b></color> üretimi <color=green><b>{0}</b></color> 'da x kat artar.
ImprovementClickDescriptionGradeAdditional,Производство <color=green><b>дофамина</b></color> увеличивается на <color=green><b>1</b></color>% от всех инвестиций.,The production of <color=green><b>dopamine</b></color> increases by <color=green><b>1</b></color>% from all investments.,Tüm yatırımlardan <color=green><b>dopamin</b></color> üretimi <color=green><b>1</b></color>% artar.
ImprovementJobDescriptionGrade{0}{1},Производство {0} увеличивается в {1}х раз.,Production {0} increases {1}x times.,Üretim {0} {1} x kat artar.
ImprovementPetDescriptionGrade0{0}{1},Привлекательность {0} увеличивается в {1}х раз.,The attractiveness of {0} increases by {1}x times.,{0}'ın çekiciliği {1} x kat artar.
ImprovementPetDescriptionGrade1{0}{1},За каждый уровень {0} производство {1} увеличивается на <color=green><b>1</b></color>%.,"For each level {0}, production {1} increases by <color=green><b>1</b></color>%.","Her seviye için {0}, üretim {1} <color=green><b>1</b></color>% artar."
ImprovementJobName0{0},{0} Пончик,{0} Donut,{0} Çörek
ImprovementJobName1{0},{0} Печенька,{0} Cookie,{0} Çerez
ImprovementJobName2{0},{0} Конфетка,{0} Candy,{0} Şeker
ImprovementJobName3{0},{0} Леденец,{0} Lollipop,{0} Lolipop
ImprovementJobName4{0},{0} Кексик,{0} Cupcake,{0} Kek
ImprovementJobName5{0},{0} Тирамису,{0} Tiramisu,{0} Tiramisu
ImprovementJobName6{0},{0} Мармеладка,{0} Marmalade,{0} Marmelat
ImprovementJobName7{0},{0} Мороженка,{0} Ice cream,{0} Dondurma
ImprovementJobName8{0},{0} Тортик,{0} Cake,{0} Kek
ImprovementPetName0{0},{0} Чип,{0} Chip,{0} Çip
ImprovementPetName1{0},{0} Кузя,{0} Kuzya,{0} Kuzya
ImprovementPetName2{0},{0} Карамелька,{0} Caramel,{0} Karamel
ImprovementPetName3{0},{0} Винни,{0} Vinnie,{0} Vinnie
ImprovementPetName4{0},{0} Мия,{0} Mia,{0} Mia
ImprovementPetName5{0},{0} Флора,{0} Flora,{0} Bitki Örtüsü
ImprovementPetName6{0},{0} Луна,{0} Moon,{0} Ay
ImprovementPetName7{0},{0} Джек,{0} Jack,{0} Kriko
ImprovementPetName8{0},{0} Скай,{0} Sky,{0} Gökyüzü
ImprovementPetName9{0},{0} Лариэль,{0} Lariel,{0} Lariel
ImprovementPetDesName0,Чипа,Chip,Çip
ImprovementPetDesName1,Кузи,Kuzi,Kuzi'nin
ImprovementPetDesName2,Карамельки,Caramels,Karameller
ImprovementPetDesName3,Винни,Vinnie,Vinnie'nin
ImprovementPetDesName4,Мии,Mia,Mia
ImprovementPetDesName5,Флоры,Flora,Bitki örtüsü
ImprovementPetDesName6,Луны,Moons,Aylar
ImprovementPetDesName7,Джека,Jack's,Jack'in
ImprovementPetDesName8,Скай,Sky,Gökyüzü
ImprovementPetDesName9,Лариэль,Lariel,Lariel'in
ImprovementJobDesName0,пончиков,donuts,çörekler
ImprovementJobDesName1,печенек,cookies,kurabiyeler
ImprovementJobDesName2,конфет,candies,şekerlemeler
ImprovementJobDesName3,леденцов,lollipops,lolipoplar
ImprovementJobDesName4,кексов,cupcakes,kekler
ImprovementJobDesName5,тирамису,tiramisu,tiramisu
ImprovementJobDesName6,мармеладок,marmalades,marmelatlar
ImprovementJobDesName7,мороженного,ice cream,dondurma
ImprovementJobDesName8,тортов,cakes,pastalar
ImprovementJobDesName9,дофамина,dopamine,dopamin
GradeM1,Обычный,Usual,Olağan
GradeM2,Необычный,Unusual,Alışılmadık
GradeM3,Хороший,Good,İyi
GradeM4,Улучшенный,Improved,Gelişmiş
GradeM5,Редкий,Rare,Nadir
GradeM6,Эпический,Epic,Destansı
GradeM7,Легендарный,Legendary,Efsanevi
GradeM8,Фантастический,Fantastic,Fantastik
GradeM9,Экзотический,Exotic,Egzotik
GradeM10,Космический,Cosmic,Kozmik
GradeM11,Божественный,Divine,İlahi
GradeM12,Мифический,Mythical,Mitolojik
GradeM13,Мифический,Mythical,Mitolojik
GradeF1,Обычная,Usual,Olağan
GradeF2,Необычная,Unusual,Alışılmadık
GradeF3,Хорошая,Good,İyi
GradeF4,Улучшенная,Improved,Gelişmiş
GradeF5,Редкая,Rare,Nadir
GradeF6,Эпическая,Epic,Destansı
GradeF7,Легендарная,Legendary,Efsanevi
GradeF8,Фантастическая,Fantastic,Fantastik
GradeF9,Экзотическая,Exotic,Egzotik
GradeF10,Космическая,Space,Uzay
GradeF11,Божественная,Divine,İlahi
GradeF12,Мифическая,Mythical,Mitolojik
GradeF13,Мифическая,Mythical,Mitolojik
Island,Уровень Острова:,Island Level:,Ada Seviyesi:
NotImproved,В данный момент доступные улучшения отсутствуют...,There are no available improvements at the moment...,Şu anda mevcut iyileştirmeler yok...
